n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
5,100,1,auto,mse,0.153165562728175,0.002510634108733,0.236902552822331,0.005392899862042,3.11465533333333,0.27856873363359,0.769754703384849,0.010700747657475,192.170189412435,16.4666870996057
10,50,1,auto,mse,0.140956916946421,0.001684763596851,0.217444678011059,0.002201910146581,3.05821866666667,0.276197712128267,0.806125091532592,0.005126155123931,174.534237130483,1.95617776108773
10,100,1,auto,mse,0.139366635854822,0.001523484049461,0.215341355774817,0.003108610402728,2.96702533333333,0.289597213450375,0.809876247937392,0.004208119036949,235.16380461057,2.34545513174029
15,50,1,auto,mse,0.137894235776844,0.000807483520871,0.212328623074711,0.002050367010126,3.01358933333333,0.306093973706696,0.815128912652491,0.003719119505266,204.641262483597,2.13979807680333
15,100,1,auto,mse,0.136883768859352,0.001036214918717,0.211061140831055,0.002301684410097,2.942386,0.298509131558818,0.817334202816828,0.005001937020028,292.110958003998,2.34880956705162
5,50,1,auto,mse,0.154649746045868,0.002759563727819,0.239172667773154,0.005465848994845,3.087664,0.272301689572429,0.765400675283858,0.010434213995939,161.245798079173,8.22015476583898
45,50,1,auto,mse,0.137168965108454,0.000735225527958,0.210792231541238,0.002089357518163,2.97445866666667,0.337692547857104,0.817779044304826,0.00459784731935,457.800563383102,35.1867219547973
45,100,1,auto,mse,0.136354831025818,0.000701296841991,0.209814613273213,0.002310062366559,2.96696533333333,0.30941732286922,0.81948390808587,0.004907984273428,806.680222972234,64.8070145835984
10,50,1,0.5,mse,0.139413476522306,0.001476540049947,0.213182324405506,0.002560911774815,3.07842933333333,0.267722354376487,0.813652020469812,0.005158388200101,169.94669453303,13.6253957866647
10,50,1,0.75,mse,0.139361563459807,0.001534977992392,0.213639295665577,0.002640594041164,3.03372,0.283672806451376,0.812869886518674,0.004623685661548,183.416006390254,14.5647974441532
10,100,1,0.25,mse,0.139562962698801,0.001703123351349,0.212625530159451,0.003314093167753,2.97502933333333,0.262583884437378,0.814632471081942,0.005277211846742,160.160043621063,9.21426851625071
10,100,1,0.5,mse,0.139018054209424,0.002694196358848,0.213049660016607,0.00480157036681,2.99820666666667,0.312247673483015,0.813823818517617,0.00859996844922,208.486755577723,11.4138241373484
10,100,1,0.75,mse,0.138793253810573,0.001684668722789,0.213210242933511,0.003920282461716,3.050612,0.293928769493563,0.813589797339133,0.006744431352459,231.71747636795,11.2061051910336
