n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
10,50,1,0.1,mse,0.118233080027916,0.001438182653424,0.165596577293879,0.002441503014651,1.674124,0.220530431484334,0.819507152182898,0.005567374610018,101.685872427622,6.05106943901424
10,50,1,0.25,mse,0.116243162903079,0.001702006239647,0.163420698625774,0.002787679210091,1.68192266666667,0.22019902910675,0.824223956986082,0.005910081736033,112.11729537646,7.16056544083993
10,50,1,0.5,mse,0.116118622514677,0.001793427459529,0.163428658820099,0.002547976077563,1.745976,0.192796173295357,0.824171338047874,0.006343055362821,136.684863599141,13.183490139508
10,50,1,0.75,mse,0.115783718588041,0.00188425831416,0.162927660507662,0.002923433535055,1.72530133333333,0.195673819944201,0.825261339177122,0.006561637011943,137.964715655645,6.35621182157513
10,50,1,auto,mse,0.116287844016709,0.001506922600832,0.163906810850658,0.002336458552577,1.75619333333333,0.19974540390763,0.823176005494543,0.00498448532193,147.034574508667,4.36327583450252
10,100,1,0.1,mse,0.117766144423504,0.001546101621992,0.165334274454194,0.002365149274871,1.70416133333333,0.201025093918369,0.820077588909305,0.005786345431836,104.25307803154,3.34668353087395
10,100,1,0.25,mse,0.115723588374454,0.001707004390513,0.162498301580292,0.002274476472203,1.659088,0.259155522655155,0.826216291920161,0.004524119135421,108.03946091334,1.86266209952156
10,100,1,0.5,mse,0.115278568324081,0.001924922762135,0.162172707099788,0.00336326301785,1.68957,0.230321053372606,0.826902556124495,0.005924343899819,136.254195308685,1.29550769780893
10,100,1,0.75,mse,0.114805578496844,0.002047563209747,0.1616899015964,0.003059701832909,1.72604733333333,0.217996792834716,0.827892707406225,0.00669198860351,152.491654618581,1.76781280811814
10,100,1,auto,mse,0.115695088286702,0.00197757479716,0.16321669358469,0.002831843536594,1.748894,0.207005239605185,0.824674637552261,0.005501045750445,181.317225090663,1.96089105862444
15,50,1,0.1,mse,0.113752638645741,0.000779904803523,0.159244430349785,0.001107343055553,1.63719733333333,0.261356451446848,0.833124181214733,0.002715738711136,91.3813824653625,1.37833944724029
15,50,1,0.25,mse,0.110484174098079,0.001403964124722,0.155273947059844,0.002186187644496,1.65153466666667,0.245253181341695,0.841306086651268,0.005026417444664,101.380614185333,1.01312941299534
15,50,1,0.5,mse,0.110238151026486,0.001182800999027,0.15513600748089,0.001932029219277,1.683504,0.230948971472055,0.841625514946592,0.003553924783159,120.004432106018,1.84636975734645
15,50,1,0.75,mse,0.110478202750729,0.001036510059951,0.155489031582765,0.001692431910466,1.701084,0.220918889393068,0.840891253096333,0.003288347590169,138.549478737513,1.21857528015176
15,50,1,auto,mse,0.110821115977221,0.001407541627226,0.156372251676539,0.002486640045475,1.66596,0.234855726833873,0.839077804168836,0.004261666984202,155.692346477509,1.96281370679338
15,100,1,0.1,mse,0.112593088895686,0.001202767796163,0.157760067863853,0.001447607930561,1.67117866666667,0.225997340806381,0.83620292415294,0.003722384133854,99.486892970403,1.47619749964569
15,100,1,0.25,mse,0.109591027696972,0.000941056005614,0.154150429179832,0.001636185648049,1.65936666666667,0.237058184522047,0.843632240267151,0.002662553439574,117.243696133296,2.34709801280576
15,100,1,0.5,mse,0.109334913392111,0.00109248911062,0.153929194198135,0.001653976130241,1.64345733333333,0.262510874123128,0.844061138736768,0.003920013000025,158.74311226209,9.80052805353524
15,100,1,0.75,mse,0.109790254533631,0.001245786325001,0.15471758286178,0.001877576723858,1.735622,0.18625588045124,0.842457651265466,0.0039083211709,228.486465199788,14.0682217380681
15,100,1,auto,mse,0.110331013646827,0.00081070578102,0.155692446635974,0.001315384561876,1.75897866666667,0.193198880806512,0.840479468504202,0.003151970125351,293.116107273102,13.3860367600663
45,50,1,0.1,mse,0.105223115887529,0.00073394953338,0.148200426258715,0.001207485772445,1.58843066666667,0.294604373795698,0.855456965872856,0.002928664947944,130.232825946808,3.21617689227163
45,50,1,0.25,mse,0.104505969648183,0.000751842220696,0.14736299450334,0.001283913036269,1.63811866666667,0.263968120748615,0.857100231106665,0.001718584809518,171.881670618057,5.47574118346553
45,50,1,0.5,mse,0.104799213067769,0.000634423874519,0.14792220798781,0.001316885875802,1.640584,0.285415122720106,0.856005696603865,0.002523466420348,210.220878807704,14.1645752624925
45,50,1,0.75,mse,0.105245724017387,0.000384606384955,0.148693933742655,0.000606499250521,1.715612,0.216541279919865,0.854515665914447,0.001322563833844,256.564474376043,13.0750283610696
45,50,1,auto,mse,0.106016993151945,0.000523920763002,0.149928392790856,0.000932366113905,1.730832,0.206154178006009,0.852074685734559,0.001710577818243,342.749887784322,22.6005534775428
45,100,1,0.1,mse,0.10438835168045,0.000578364416344,0.147128766952221,0.00113213969045,1.597332,0.298108772010039,0.85754209399559,0.002538540470304,146.349547624588,4.55169936757724
45,100,1,0.25,mse,0.103671788519222,0.000673840907383,0.146342425327164,0.001146917092208,1.656462,0.257368425367215,0.859071814986355,0.002023806483488,207.575205008189,9.20056290000848
45,100,1,0.5,mse,0.103968258022434,0.000821711418675,0.14693945946778,0.001539151597705,1.68930933333333,0.228338533044444,0.857924024115511,0.002002112471898,323.50803976059,16.6930438277956
45,100,1,0.75,mse,0.104650100298014,0.000568244598521,0.147951526528535,0.001276323227953,1.64683266666667,0.244789840488167,0.855946864472494,0.002228837562153,432.241250340144,36.1321062919279
45,100,1,auto,mse,0.105323860580311,0.000683092688897,0.149061084095577,0.00092463791066,1.68805666666667,0.231732661966807,0.853785086843658,0.001753474860864,548.630450550715,25.5362031346179
60,50,1,0.1,mse,0.104911573704095,0.000624986994286,0.147769158681581,0.001120847980396,1.61062266666667,0.302205920777355,0.856308095305003,0.001928961279128,116.404503838221,2.62919211754736
60,50,1,0.25,mse,0.104454331056143,0.000504864144946,0.147344096857915,0.001012041839645,1.69620666666667,0.23352746781101,0.857110547539901,0.002701150004034,157.449353265762,9.59494212029883
60,50,1,0.5,mse,0.10476506031684,0.000617078207224,0.147817923774643,0.001145077595545,1.631988,0.266769957608923,0.856216345886313,0.002335836659707,229.18349738121,9.61493404380335
60,50,1,0.75,mse,0.105354842847458,0.000692838868816,0.148702017862471,0.001516985403809,1.679692,0.256791948970368,0.854491192937813,0.00243612807604,289.997324053446,7.55761322120312
60,50,1,auto,mse,0.106157009345879,0.000710978233179,0.150054086368917,0.001553956947161,1.707272,0.239920751560454,0.851833634501489,0.002264058749643,353.052258125941,4.09637586014221
60,100,1,0.1,mse,0.104070606467061,0.000590576022041,0.146728500595773,0.001318867564801,1.55992133333333,0.289185393288727,0.858311183621731,0.002933656850116,143.082625881831,1.75856602954926
60,100,1,0.25,mse,0.103625324642127,0.000590395188331,0.146293167049613,0.001038954410044,1.62706733333333,0.275874692652701,0.859157473588905,0.002534589161185,221.387352641424,5.01852688480537
60,100,1,0.5,mse,0.104004593768262,0.000555681396983,0.14692676616621,0.001295482763179,1.66165933333333,0.270275997441299,0.857938372302838,0.002060117363822,359.506253178914,2.82275561282321
60,100,1,0.75,mse,0.104594077291351,0.000587930818314,0.147728362402893,0.001123067558816,1.67965933333333,0.259497443878655,0.8563951643917,0.001891628137649,508.709791167577,20.1582583267517
60,100,1,auto,mse,0.105369803998778,0.000432364803184,0.14903011373199,0.000924028922093,1.695758,0.230227317556656,0.853841188366892,0.001921867537963,696.854816071192,37.3588539449466
136,50,1,0.1,mse,0.105825775643355,0.000541410779453,0.149095423809371,0.000924359110243,1.63456,0.291103807463935,0.85371166707351,0.002014095758874,102.78051776886,1.79034599709584
136,50,1,0.25,mse,0.104936171979557,0.000422019001321,0.147928218613494,0.000997206687289,1.62855733333333,0.281473051675565,0.856001008188086,0.002214851911998,217.104706700643,11.0144476468652
136,50,1,0.5,mse,0.105149995496608,0.000548532452521,0.148309500701956,0.001198075925842,1.63412266666667,0.286724658524903,0.855259506182598,0.002323783996481,390.244269943237,43.9874270490501
136,50,1,0.75,mse,0.105650876752053,0.000475583273158,0.149212257828133,0.001180201341859,1.68422,0.25064755441323,0.853489952385199,0.002412972964637,589.926244068146,43.0584680033232
136,50,1,auto,mse,0.106385914924071,0.000704196087718,0.150467001668365,0.001164769576045,1.730684,0.204313638141624,0.851019721467142,0.002111693637627,702.482234239578,41.875354304719
136,100,1,0.1,mse,0.105056148199939,0.000492381147241,0.148078019752025,0.000909296671246,1.56907533333333,0.338308198656524,0.855716441384396,0.001788434816885,166.202787637711,1.28592022217298
136,100,1,0.25,mse,0.104115063844843,0.000663639501724,0.146952765678284,0.001496639814528,1.628928,0.271645261452015,0.857878379884119,0.002788999507563,373.736626911163,11.5293816376337
136,100,1,0.5,mse,0.104403800170035,0.000425698058461,0.147391067973287,0.001115392825947,1.642658,0.270159513675409,0.857049347979734,0.001938280800234,699.40075917244,46.6712346485206
